Id,SalePrice
1461,121321.4875575949
1462,152187.87722626652
1463,171942.92024062804
1464,189002.11211375354
1465,199263.91742207826
1466,185518.7170674639
1467,165975.4148011959
1468,172815.31996576686
1469,189807.44717531337
1470,117787.40670886362
1471,183953.70122607812
1472,93056.92767199723
1473,93629.68197688914
1474,149122.01379060934
1475,136175.78610876546
1476,422948.41976115206
1477,261588.71294916997
1478,293128.0478722332
1479,296809.3159655179
1480,450905.48279195576
1481,314854.355636448
1482,209271.42326207587
1483,179372.93932972453
1484,165928.1039130358
1485,170420.91688697555
1486,198048.39046740558
1487,370104.00667620427
1488,242400.1477712577
1489,209944.69792375606
1490,203092.7775387164
1491,194784.26676409267
1492,92437.47644871377
1493,191532.71052043908
1494,289454.24907155
1495,273725.8528926907
1496,226206.7216595456
1497,201034.14770916133
1498,157208.83453246168
1499,150527.96915920672
1500,144443.85029793833
1501,163613.8246353771
1502,153629.56430887122
1503,277413.18466295267
1504,233186.4894505744
1505,202940.22923893173
1506,185898.96263658587
1507,237490.2397185392
1508,198559.66517378038
1509,160053.85535937228
1510,156724.35606029953
1511,154639.87189846075
1512,160952.02378842075
1513,152480.5947376098
1514,143309.56581641827
1515,201845.76750855448
1516,141631.89337751933
1517,161351.84289280267
1518,136268.67303468505
1519,206145.38991896197
1520,148892.19885243897
1521,149511.55812615374
1522,148207.21517922805
1523,117807.8813930974
1524,121568.95670528768
1525,124440.44501168262
1526,117762.01447423134
1527,110582.87124330699
1528,133149.43761611462
1529,161829.1927205167
1530,180640.68743145574
1531,113236.03702761621
1532,88389.09560148485
1533,149649.54984987443
1534,122525.08833430149
1535,137414.63760056678
1536,108138.95249813452
1537,82598.56350129137
1538,152132.26796176366
1539,223730.35381158988
1540,128923.3102566936
1541,137486.2433921759
1542,137103.34335976717
1543,190597.4701195892
1544,86453.71480438915
1545,107909.09972048058
1546,121576.2933468349
1547,128796.95733325303
1548,136830.34297809558
1549,111487.35586573888
1550,140951.6309548974
1551,107319.16677582962
1552,140068.724270874
1553,138419.3104725097
1554,109212.85150376914
1555,172611.97960686559
1556,111425.18356409657
1557,102522.28561098115
1558,96713.0333732204
1559,99380.7585430492
1560,135061.36842541446
1561,140425.08804337346
1562,135837.80492889538
1563,115050.72596755963
1564,152700.83927741076
1565,143136.05768217042
1566,232773.33278168086
1567,79328.97512358318
1568,226397.63884967845
1569,142374.77440164814
1570,135380.4713755449
